authors,formats,id,pubdate,tags,title
L. Frank Baum,['/home/salty/Documents/Calibre Books/L. Frank Baum/The Road to Oz (3853)/The Road to Oz - L. Frank Baum.azw3'],3853,2025-09-01T19:39:21+00:00,['Childrens'],The Road to Oz
Omar Khayyám,['/home/salty/Documents/Calibre Books/Omar Khayyam/The Rubaiyat of Omar Khayyam (3854)/The Rubaiyat of Omar Khayyam - Omar Khayyam.azw3'],3854,2014-05-25T00:00:00+00:00,['Poetry'],The Rubáiyát of Omar Khayyám
Philip James Bailey,['/home/salty/Documents/Calibre Books/Philip James Bailey/Festus (3855)/Festus - Philip James Bailey.azw3'],3855,2023-10-20T16:33:41+00:00,"['Drama', 'Poetry', 'Spirituality']",Festus
John Milton,['/home/salty/Documents/Calibre Books/John Milton/Paradise Lost (3856)/Paradise Lost - John Milton.azw3'],3856,2019-08-26T21:08:27+00:00,"['Fiction', 'Poetry', 'Spirituality']",Paradise Lost
Carlo Collodi,['/home/salty/Documents/Calibre Books/Carlo Collodi/The Adventures of Pinocchio (3857)/The Adventures of Pinocchio - Carlo Collodi.azw3'],3857,2021-01-03T22:58:47+00:00,['Childrens'],The Adventures of Pinocchio
Anonymous,['/home/salty/Documents/Calibre Books/Anonymous/Sir Gawain and the Green Knight (3858)/Sir Gawain and the Green Knight - Anonymous.azw3'],3858,2026-02-23T01:31:48+00:00,['Poetry'],Sir Gawain and the Green Knight
E. Nesbit,['/home/salty/Documents/Calibre Books/E. Nesbit/The Enchanted Castle (3859)/The Enchanted Castle - E. Nesbit.azw3'],3859,2018-04-02T03:44:34+00:00,"['Childrens', 'Fiction']",The Enchanted Castle
Virgil,['/home/salty/Documents/Calibre Books/Virgil/The Georgics (3860)/The Georgics - Virgil.azw3'],3860,2023-12-14T16:40:38+00:00,['Poetry'],The Georgics
Anonymous,['/home/salty/Documents/Calibre Books/Anonymous/Gudrun (3861)/Gudrun - Anonymous.azw3'],3861,2025-05-20T16:31:35+00:00,['Poetry'],Gudrun
Samuel Butler,['/home/salty/Documents/Calibre Books/Samuel Butler/Hudibras (3862)/Hudibras - Samuel Butler.azw3'],3862,2021-05-26T18:41:32+00:00,"['Fiction', 'Poetry']",Hudibras
John Newton & William Cowper,['/home/salty/Documents/Calibre Books/John Newton/Olney Hymns (3863)/Olney Hymns - John Newton.azw3'],3863,2026-04-21T17:47:50+00:00,['Poetry'],Olney Hymns
W. B. Yeats,['/home/salty/Documents/Calibre Books/W. B. Yeats/Poetry (3864)/Poetry - W. B. Yeats.azw3'],3864,2024-08-29T19:22:49+00:00,['Poetry'],Poetry
John A. Lomax,['/home/salty/Documents/Calibre Books/John A. Lomax/Songs of the Cattle Trail and Cow Camp (3865)/Songs of the Cattle Trail and Cow Camp - John A. Lomax.azw3'],3865,2025-06-16T19:36:17+00:00,['Poetry'],Songs of the Cattle Trail and Cow Camp
Joel Barlow,['/home/salty/Documents/Calibre Books/Joel Barlow/The Columbiad (3866)/The Columbiad - Joel Barlow.azw3'],3866,2025-06-02T19:41:57+00:00,['Poetry'],The Columbiad
Homer,['/home/salty/Documents/Calibre Books/Homer/The Iliad (3867)/The Iliad - Homer.azw3'],3867,2020-01-29T23:16:03+00:00,['Poetry'],The Iliad
Edward Lear,['/home/salty/Documents/Calibre Books/Edward Lear/Nonsense Books (3868)/Nonsense Books - Edward Lear.azw3'],3868,2020-06-11T22:07:27+00:00,"['Comedy', 'Poetry', 'Shorts']",Nonsense Books
Elizabeth Barrett Browning,['/home/salty/Documents/Calibre Books/Elizabeth Barrett Browning/Sonnets from the Portuguese (3869)/Sonnets from the Portuguese - Elizabeth Barrett Browning.azw3'],3869,2017-12-02T19:47:22+00:00,['Poetry'],Sonnets from the Portuguese
Anonymous,['/home/salty/Documents/Calibre Books/Anonymous/Beowulf (3870)/Beowulf - Anonymous.azw3'],3870,2019-12-01T22:30:11+00:00,['Poetry'],Beowulf
Rabindranath Tagore,['/home/salty/Documents/Calibre Books/Rabindranath Tagore/Gitanjali_ (Song Offerings) (3871)/Gitanjali_ (Song Offerings) - Rabindranath Tagore.azw3'],3871,2017-06-25T16:22:32+00:00,"['Fiction', 'Poetry', 'Spirituality']",Gitanjali: (Song Offerings)
Robert Frost,['/home/salty/Documents/Calibre Books/Robert Frost/North of Boston (3872)/North of Boston - Robert Frost.azw3'],3872,2014-05-25T00:00:00+00:00,['Poetry'],North of Boston
Boethius,['/home/salty/Documents/Calibre Books/Boethius/The Consolation of Philosophy (3873)/The Consolation of Philosophy - Boethius.azw3'],3873,2023-09-29T17:41:33+00:00,"['Philosophy', 'Poetry']",The Consolation of Philosophy
Edgar Lee Masters,['/home/salty/Documents/Calibre Books/Edgar Lee Masters/Spoon River Anthology (3874)/Spoon River Anthology - Edgar Lee Masters.azw3'],3874,2022-08-20T18:26:49+00:00,['Poetry'],Spoon River Anthology
John Henry Newman,['/home/salty/Documents/Calibre Books/John Henry Newman/Verses on Various Occasions (3875)/Verses on Various Occasions - John Henry Newman.azw3'],3875,2021-01-06T19:08:24+00:00,"['Poetry', 'Spirituality']",Verses on Various Occasions
Adam Mickiewicz,['/home/salty/Documents/Calibre Books/Adam Mickiewicz/Pan Tadeusz_ The Last Foray in Lithuania (3876)/Pan Tadeusz_ The Last Foray in Lithuania - Adam Mickiewicz.azw3'],3876,2023-07-31T13:38:34+00:00,['Poetry'],Pan Tadeusz: The Last Foray in Lithuania
Abu al-ʻAlaʼ al-Maʻarri,"[""/home/salty/Documents/Calibre Books/Abu al-`Ala' al-Ma`arri/The Luzumiyat (3877)/The Luzumiyat - Abu al-`Ala' al-Ma`arri.azw3""]",3877,2024-06-10T18:42:54+00:00,['Poetry'],The Luzumiyat
Robert Frost,['/home/salty/Documents/Calibre Books/Robert Frost/New Hampshire_ A Poem with Notes and Grace Notes (3878)/New Hampshire_ A Poem with Notes and Grace - Robert Frost.azw3'],3878,2020-04-24T20:28:27+00:00,['Poetry'],New Hampshire: A Poem with Notes and Grace Notes
Jean Toomer,['/home/salty/Documents/Calibre Books/Jean Toomer/Cane (3879)/Cane - Jean Toomer.azw3'],3879,2021-04-11T18:34:47+00:00,"['Fiction', 'Poetry']",Cane
Anonymous,['/home/salty/Documents/Calibre Books/Anonymous/The Nibelungenlied (3880)/The Nibelungenlied - Anonymous.azw3'],3880,2021-04-02T22:44:27+00:00,"['Adventure', 'Poetry']",The Nibelungenlied
Edmund Spenser,['/home/salty/Documents/Calibre Books/Edmund Spenser/The Faerie Queene (3881)/The Faerie Queene - Edmund Spenser.azw3'],3881,2022-12-22T07:23:36+00:00,['Poetry'],The Faerie Queene
Walt Whitman,['/home/salty/Documents/Calibre Books/Walt Whitman/Leaves of Grass (3882)/Leaves of Grass - Walt Whitman.azw3'],3882,2024-01-02T19:53:47+00:00,['Poetry'],Leaves of Grass
Pindar,['/home/salty/Documents/Calibre Books/Pindar/Victory Odes (3883)/Victory Odes - Pindar.azw3'],3883,2024-01-29T17:24:49+00:00,"['Fiction', 'Poetry']",Victory Odes
Homer,['/home/salty/Documents/Calibre Books/Homer/The Odyssey (3884)/The Odyssey - Homer.azw3'],3884,2020-02-08T01:55:23+00:00,['Poetry'],The Odyssey
Robert W. Service,['/home/salty/Documents/Calibre Books/Robert W. Service/Songs of a Sourdough (3885)/Songs of a Sourdough - Robert W. Service.azw3'],3885,2019-07-02T16:31:22+00:00,['Poetry'],Songs of a Sourdough
Stephen Vincent Benét,"[""/home/salty/Documents/Calibre Books/Stephen Vincent Benet/John Brown's Body (3886)/John Brown's Body - Stephen Vincent Benet.azw3""]",3886,2025-11-18T20:13:41+00:00,['Poetry'],John Brown’s Body
William Wordsworth & Samuel Taylor Coleridge,['/home/salty/Documents/Calibre Books/William Wordsworth/Lyrical Ballads_ With Pastoral and Other Poems (3887)/Lyrical Ballads_ With Pastoral and Other P - William Wordsworth.azw3'],3887,2014-05-25T00:00:00+00:00,['Poetry'],Lyrical Ballads: With Pastoral and Other Poems
Lord Byron,['/home/salty/Documents/Calibre Books/Lord Byron/Don Juan (3888)/Don Juan - Lord Byron.azw3'],3888,2024-07-20T17:20:38+00:00,['Poetry'],Don Juan
Apollonius of Rhodes,['/home/salty/Documents/Calibre Books/Apollonius of Rhodes/The Argonautica (3889)/The Argonautica - Apollonius of Rhodes.azw3'],3889,2024-05-23T20:34:02+00:00,['Poetry'],The Argonautica
Frédéric Mistral,['/home/salty/Documents/Calibre Books/Frederic Mistral/Mireio_ A Provencal Poem (3890)/Mireio_ A Provencal Poem - Frederic Mistral.azw3'],3890,2023-01-20T00:05:59+00:00,['Poetry'],Mirèio: A Provençal Poem
Anonymous,['/home/salty/Documents/Calibre Books/Anonymous/The Pearl (3891)/The Pearl - Anonymous.azw3'],3891,2026-04-17T20:24:10+00:00,['Poetry'],The Pearl
John G. Neihardt,['/home/salty/Documents/Calibre Books/John G. Neihardt/A Cycle of the West (3892)/A Cycle of the West - John G. Neihardt.azw3'],3892,2024-05-10T02:30:09+00:00,['Poetry'],A Cycle of the West
Luís de Camões,['/home/salty/Documents/Calibre Books/Luis de Camoes/The Lusiads (3893)/The Lusiads - Luis de Camoes.azw3'],3893,2026-03-09T21:25:22+00:00,['Poetry'],The Lusiads
Geoffrey Chaucer,['/home/salty/Documents/Calibre Books/Geoffrey Chaucer/The Canterbury Tales (3894)/The Canterbury Tales - Geoffrey Chaucer.azw3'],3894,2023-05-01T21:20:30+00:00,['Poetry'],The Canterbury Tales
Lord Tennyson Alfred,['/home/salty/Documents/Calibre Books/Lord Tennyson Alfred/Idylls of the King (3895)/Idylls of the King - Lord Tennyson Alfred.azw3'],3895,2014-05-25T00:00:00+00:00,['Poetry'],Idylls of the King
Phillis Wheatley,"['/home/salty/Documents/Calibre Books/Phillis Wheatley/Poems on Various Subjects, Religious and Moral (3896)/Poems on Various Subjects, Religious and M - Phillis Wheatley.azw3']",3896,2020-09-01T01:06:52+00:00,['Poetry'],"Poems on Various Subjects, Religious and Moral"
Elias Lönnrot,['/home/salty/Documents/Calibre Books/Elias Lonnrot/The Kalevala (3897)/The Kalevala - Elias Lonnrot.azw3'],3897,2022-02-15T18:41:59+00:00,['Poetry'],The Kalevala
Mary Weston Fordham,['/home/salty/Documents/Calibre Books/Mary Weston Fordham/Magnolia Leaves (3898)/Magnolia Leaves - Mary Weston Fordham.azw3'],3898,2025-10-07T17:58:57+00:00,['Poetry'],Magnolia Leaves
Ludovico Ariosto,['/home/salty/Documents/Calibre Books/Ludovico Ariosto/Orlando Furioso (3899)/Orlando Furioso - Ludovico Ariosto.azw3'],3899,2022-03-17T15:43:37+00:00,"['Fiction', 'Poetry']",Orlando Furioso
Virgil,['/home/salty/Documents/Calibre Books/Virgil/The Aeneid (3900)/The Aeneid - Virgil.azw3'],3900,2021-02-04T22:32:39+00:00,['Poetry'],The Aeneid
Dante Alighieri,['/home/salty/Documents/Calibre Books/Dante Alighieri/The Divine Comedy (3901)/The Divine Comedy - Dante Alighieri.azw3'],3901,2021-05-31T02:32:46+00:00,"['Fiction', 'Poetry', 'Spirituality']",The Divine Comedy
Virgil,['/home/salty/Documents/Calibre Books/Virgil/The Eclogues (3902)/The Eclogues - Virgil.azw3'],3902,2023-12-01T17:25:06+00:00,['Poetry'],The Eclogues
David Park Barnitz,['/home/salty/Documents/Calibre Books/David Park Barnitz/The Book of Jade (3903)/The Book of Jade - David Park Barnitz.azw3'],3903,2024-03-22T20:54:00+00:00,['Poetry'],The Book of Jade
Ovid,['/home/salty/Documents/Calibre Books/Ovid/Metamorphoses (3904)/Metamorphoses - Ovid.azw3'],3904,2023-03-29T05:57:08+00:00,['Poetry'],Metamorphoses
Horace Walpole,['/home/salty/Documents/Calibre Books/Horace Walpole/The Castle of Otranto_ A Gothic Story (3905)/The Castle of Otranto_ A Gothic Story - Horace Walpole.azw3'],3905,2017-03-12T20:37:34+00:00,['Fiction'],The Castle of Otranto: A Gothic Story
Robert Williams Wood,['/home/salty/Documents/Calibre Books/Robert Williams Wood/How to Tell the Birds from the Flowers and Other Woodcuts_ A Revised Manual of Flornithology fo (3906)/How to Tell the Birds from the Flowers and - Robert Williams Wood.azw3'],3906,2025-03-16T20:24:43+00:00,"['Poetry', 'Satire']",How to Tell the Birds from the Flowers and Other Woodcuts: A Revised Manual of Flornithology for Beginners
Baroness Orczy,"[""/home/salty/Documents/Calibre Books/Baroness Orczy/Lord Tony's Wife (3907)/Lord Tony's Wife - Baroness Orczy.azw3""]",3907,2020-12-31T19:51:28+00:00,"['Adventure', 'Fiction']",Lord Tony’s Wife
Arthur Conan Doyle,['/home/salty/Documents/Calibre Books/Arthur Conan Doyle/The Return of Sherlock Holmes (3908)/The Return of Sherlock Holmes - Arthur Conan Doyle.azw3'],3908,2018-07-27T21:25:04+00:00,"['Fiction', 'Mystery', 'Shorts']",The Return of Sherlock Holmes
E. H. Young,['/home/salty/Documents/Calibre Books/E. H. Young/Miss Mole (3909)/Miss Mole - E. H. Young.azw3'],3909,2026-01-01T16:00:30+00:00,['Fiction'],Miss Mole
